berg_id,date,lat,lon,size_1,size_2,gap_days,u_berg,v_berg,u_wind,v_wind,u_curr,v_curr,prev_u,prev_v,prev_speed
b09i,2015-12-11,-65.4333,139.7167,12.0,6.0,7,-0.0395398042643371,0.0091410383597878,-12.608154296875,10.774078369140623,-0.1428266242146492,-0.0231940671801567,0.0050911302467346,0.0121941451719571,0.013214264401168177
b15k,2015-12-11,-64.5833,-56.0,16.0,3.0,7,0.0,0.0243700082671941,-0.451904296875,-1.903656005859375,0.0177007354795932,0.0463881343603134,-0.0065523655149528,0.0213351835317476,0.022318681640609885
b09f,2015-12-11,-74.6667,-28.95,21.0,8.0,7,-0.0162223350887967,0.0152472519841291,0.395751953125,2.446929931640625,-0.0262459181249141,0.0170903652906417,-0.0364653312588611,0.0030348247354491,0.03659139987747621
b34,2015-12-11,-75.4333,-161.5333,15.0,5.0,7,0.0092585141559395,0.0121758630952395,4.020751953125,9.152008056640623,-0.0262459181249141,0.033570360392332,-0.0167237335370638,0.0396172602513233,0.043002448456335524
a57,2015-12-11,-71.5167,-58.8833,11.0,5.0,7,-0.0107018458089402,0.0121941451719571,4.687744140625,1.047515869140625,-0.0213629566133022,0.0115970335900783,-0.0487356169235347,0.0609341617063481,0.07802648537370437
b39,2016-01-08,-66.4833,147.0167,8.0,4.0,7,0.0171343187887248,0.0304579398148152,-3.0072174072265625,1.4020233154296875,0.0134281441569328,0.0311288796365261,0.0217970665142332,0.0487582986111111,0.05340864903811165
b09g,2016-01-08,-67.2,44.0667,12.0,7.0,7,-0.0618186315264069,-0.0121941451719571,-3.6126861572265625,0.5807342529296875,0.0262459181249141,-0.0012207403779029,-0.0082475520339551,0.0365641534391539,0.03748278846717233
b15aa,2016-01-08,-65.5,50.8167,11.0,6.0,7,0.0,0.0,-8.577529907226562,-0.2786407470703125,-0.0817896053194999,-0.0207525864243507,-0.0277139554098829,0.0457051917989418,0.0534511728761777
b16,2016-01-08,-74.9167,-30.7667,16.0,6.0,7,0.0127740985566442,-0.0761631316137544,5.1031341552734375,4.6930389404296875,0.0329599902033805,0.0280770286917686,0.0138764900591951,-0.06398726851852,0.06547463255967247
b15z,2016-01-08,-74.3167,-26.0167,16.0,8.0,7,-0.0074632947540038,0.0061062136243386,7.602157592773437,6.1998748779296875,-0.0189214758574962,0.0738547928631305,0.0198197118743777,0.0121758630952395,0.023260967754961604
a67,2016-01-08,-75.5167,-27.7167,8.0,4.0,7,-0.0145741156034594,-0.0152289699074063,6.4722747802734375,6.2350311279296875,-0.0329599902033805,0.0463881343603134,-0.0381031449788086,-0.0365641534391539,0.052808966795404144
c28b,2016-01-08,-74.3167,-29.4667,21.0,14.0,7,-0.0024877649180013,0.0030531068121693,5.3531341552734375,3.877609252929687,-0.0457777641713619,0.0689718313515186,0.0132235295470613,0.0091410383597878,0.016075456944582175
a66,2016-01-08,-63.5333,-55.2833,7.0,4.0,7,0.0095649075986287,-0.0670403753306881,4.3072357177734375,-0.6126251220703125,0.0683614611625671,0.0726340524852275,-0.0054057849993633,0.0548462301587309,0.05511199029325492
a65,2016-01-08,-53.15,-36.3167,0.0,0.0,7,0.0827890236306364,0.0792162384259251,2.1675872802734375,4.1774139404296875,-0.0860621966421604,0.1208532974123954,-0.1689648727371207,0.2590021808862431,0.3092430402174018
